sample	gsm	coo	IFI16	AIM2	MNDA	PYHIN1
GSM4451376_C130795	GSM4451376	GCB	1611	46	65	57
GSM4451377_C140386	GSM4451377	ABC	8378	1703	3671	807
GSM4451378_C140526	GSM4451378	ABC	3397	1080	164	104
GSM4451379_C140622	GSM4451379	ABC	2401	572	665	55
GSM4451380_C150199	GSM4451380	ABC	8132	422	397	40
GSM4451381_C150587	GSM4451381	GCB	2838	1272	25	30
GSM4451382_G130026	GSM4451382	GCB	1538	1139	46	199
GSM4451383_G130276	GSM4451383	GCB	4044	4146	102	354
GSM4451384_G140114	GSM4451384	ABC	3875	858	446	363
GSM4451385_G150038	GSM4451385	Type_3	165	21	11	8
GSM4451386_GU130024	GSM4451386	Type_3	4213	2237	381	366
GSM4451387_GU130035	GSM4451387	GCB	14	29	0	0
GSM4451388_GU130061	GSM4451388	ABC	4591	591	343	190
GSM4451389_GU130065	GSM4451389	ABC	4847	1377	889	668
GSM4451390_GU140083	GSM4451390	ABC	4721	2121	1212	697
GSM4451391_LM130017	GSM4451391	GCB	10	0	0	0
GSM4451392_LM130091	GSM4451392	ABC	32	9	0	20
GSM4451393_LM130100	GSM4451393	GCB	2351	2215	37	79
GSM4451394_LM140017	GSM4451394	Type_3	5571	4323	267	618
GSM4451395_LM140023	GSM4451395	ABC	7135	2435	1097	953
GSM4451396_LM140043	GSM4451396	GCB	683	466	120	35
GSM4451397_LM140044	GSM4451397	ABC	4548	1741	418	369
GSM4451398_LM140051	GSM4451398	Type_3	1271	498	92	109
GSM4451399_LM140071	GSM4451399	Type_3	4344	1072	177	313
GSM4451400_LM140080	GSM4451400	ABC	2485	823	682	87
GSM4451401_LM140090	GSM4451401	ABC	1970	750	353	93
GSM4451402_LM150005	GSM4451402	Type_3	5115	2102	506	600
GSM4451403_LM150009	GSM4451403	GCB	6195	3440	1189	749
GSM4451404_LM150086	GSM4451404	GCB	710	868	25	21
GSM4451405_LM150092	GSM4451405	GCB	111	18	10	5
GSM4451406_LM150094	GSM4451406	ABC	11	10	4	1
GSM4451407_LM150107	GSM4451407	Type_3	130	160	53	5
GSM4451408_LM150111	GSM4451408	GCB	1310	203	106	233
GSM4451409_LM150113	GSM4451409	ABC	1963	1113	71	25
GSM4451410_LM150114	GSM4451410	ABC	5125	609	2434	70
GSM4451411_LM150120	GSM4451411	Type_3	8786	5572	377	1175
GSM4451412_LM150121	GSM4451412	ABC	6083	1768	929	984
GSM4451413_LM150123	GSM4451413	GCB	8392	4536	418	508
GSM4451414_LM150125	GSM4451414	GCB	1844	50	114	61
GSM4451415_LM150127	GSM4451415	GCB	4155	934	681	273
GSM4451416_LM150132	GSM4451416	GCB	4903	1723	711	707
GSM4451417_LM150133	GSM4451417	GCB	897	13	144	28
GSM4451418_LM150145	GSM4451418	ABC	1806	1103	522	150
GSM4451419_LM160011	GSM4451419	Type_3	3494	39	398	436
GSM4451420_LM160013	GSM4451420	Type_3	4451	965	412	304
GSM4451421_LM160014	GSM4451421	ABC	6639	4737	1217	1073
GSM4451422_LM160020	GSM4451422	ABC	2734	659	34	502
GSM4451423_LM160042	GSM4451423	Type_3	2121	774	114	435
GSM4451424_LM160043	GSM4451424	Type_3	2932	504	318	304
GSM4451425_LM160044	GSM4451425	ABC	1918	257	102	157
GSM4451426_LM160076	GSM4451426	GCB	1965	646	124	124
GSM4451427_LM160083	GSM4451427	ABC	4347	1287	461	1115
GSM4451428_LM160087	GSM4451428	ABC	3681	1403	220	99
GSM4451429_LM160088	GSM4451429	ABC	3692	1074	132	159
GSM4451430_LM160095	GSM4451430	GCB	1957	555	53	885
GSM4451431_LM160098	GSM4451431	Type_3	3088	366	715	268
GSM4451432_LM160102	GSM4451432	GCB	1552	165	152	235
GSM4451433_LM160111	GSM4451433	Type_3	3599	872	207	815
GSM4451434_LM160112	GSM4451434	GCB	5598	2716	1703	420
GSM4451435_LM160113	GSM4451435	ABC	5784	2000	413	1047
GSM4451436_LM160115	GSM4451436	ABC	2903	809	262	466
GSM4451437_LM160117	GSM4451437	Type_3	2390	1261	469	335
GSM4451438_LM160118	GSM4451438	ABC	4279	1083	164	636
GSM4451439_LM160120	GSM4451439	ABC	881	407	139	167
GSM4451440_LM160123	GSM4451440	ABC	4945	1119	3629	35
GSM4451441_LM160131	GSM4451441	GCB	1289	1450	29	17
GSM4451442_LM160136	GSM4451442	ABC	2243	1654	505	199
GSM4451443_LM160137	GSM4451443	Type_3	2447	2097	124	186
GSM4451444_LM160144	GSM4451444	GCB	2522	1529	104	64
GSM4451445_LM160149	GSM4451445	Type_3	3959	1560	158	58
GSM4451446_LM170006	GSM4451446	ABC	373	90	67	22
GSM4451447_LM170009	GSM4451447	Type_3	2181	135	423	201
GSM4451448_LM170010	GSM4451448	ABC	3707	1662	289	213
GSM4451449_LM170015	GSM4451449	ABC	1885	1019	703	209
GSM4451450_LM170024	GSM4451450	Type_3	3381	3698	282	231
GSM4451451_LM170027	GSM4451451	ABC	2007	984	777	213
GSM4451452_LM170040	GSM4451452	ABC	818	143	81	14
GSM4451453_LM170052	GSM4451453	ABC	2663	1041	513	266
GSM4451454_LM170055	GSM4451454	GCB	2649	1042	114	64
GSM4451455_LM170058	GSM4451455	Type_3	3067	1464	645	397
GSM4451456_LM170060	GSM4451456	ABC	4540	1879	292	106
GSM4451457_LM170062	GSM4451457	GCB	4382	1543	43	130
GSM4451458_LM170066	GSM4451458	Type_3	1493	526	343	130
GSM4451459_LM170067	GSM4451459	ABC	2809	3102	397	266
GSM4451460_LM170070	GSM4451460	ABC	3	1	0	0
GSM4451461_LM170073	GSM4451461	GCB	4336	2088	121	508
GSM4451462_LM170076	GSM4451462	ABC	4270	1556	256	881
GSM4451463_LM170082	GSM4451463	GCB	7147	2119	154	304
GSM4451464_LM170089	GSM4451464	ABC	3367	454	433	640
GSM4451465_LM170103	GSM4451465	ABC	7226	655	1684	856
GSM4451466_LM170110	GSM4451466	GCB	3743	4864	465	544
GSM4451467_LM180008	GSM4451467	GCB	4967	2637	302	625
GSM4451468_LM180010	GSM4451468	Type_3	2419	1416	1464	450
GSM4451469_LM180012	GSM4451469	ABC	1843	2268	431	113
GSM4451470_LM180015	GSM4451470	Type_3	2199	421	156	395
GSM4451471_LM180019	GSM4451471	GCB	2727	731	161	237
GSM4451472_LM180029	GSM4451472	GCB	3326	1584	441	196
GSM4451473_LM180034	GSM4451473	ABC	3218	2093	2289	287
GSM4451474_LM180077	GSM4451474	ABC	4741	915	641	618
GSM4451475_LM180078	GSM4451475	Type_3	4681	1368	833	439
GSM4451476_LM180079	GSM4451476	GCB	5645	1544	96	71
GSM4451477_LM180081	GSM4451477	ABC	5434	3662	855	678
GSM4451478_LM180093	GSM4451478	GCB	4960	3365	523	185
GSM4451479_LM180107	GSM4451479	Type_3	2983	772	281	735
GSM4451480_LM180109	GSM4451480	ABC	727	281	75	89
GSM4451481_LM180117	GSM4451481	Type_3	4530	2560	830	963
GSM4451482_LM180118	GSM4451482	ABC	3083	1370	945	49
GSM4451483_LM180119	GSM4451483	ABC	4165	2006	792	830
GSM4451484_LM180122	GSM4451484	ABC	4730	2395	733	529
GSM4451485_LM180123	GSM4451485	GCB	5072	2351	230	624
GSM4451486_O140100	GSM4451486	Type_3	238	241	37	51
